Sample,QD-source,Core,Shell,QD-diameter-nm,Emission-wavelength-nm,Surface-ligand,Ligand-chemical,Surface-charge,Surface-modification,Surface-modification-chemical,Cell-anatomical-type,Cell-identification,Cell-source-species,Cell-origin,Cell-tissue-organ-origin,Assay-type,Delivery-type,Exposure-time-hrs,QD-conc-nanoMolar,QD/cell-attomoles/cell,QD/cell-number/cell,Cd-conc-ug/mL,Cd-conc/cell-picomoles/cell,Cell-viability-percent,Cell-viability-StdDev,IC50Value,IC50-ug/ml,IC50-nMolar,IC50-ug/ml,Lowest-conc-nMolar,Lowest-conc-ug/ml,Highest-conc-nMolar,Highest-conc-ug/ml,Surface-conc-nMolar,Reference,
893,Commercial,CdSe,ZnS,7.2,605,Amphiphilic-polymer,Amphiphilic-polymer-4D5scFv,Negative,Protein,4D5scFv,Epithelial,SKOV-3,Human ,Cell-line,Ovary-ascites,MTT,Active,1,1.0E+02,2.5E+03,1.5E+09,4.5E+00,1.0E+00,78.3,16.7,Over50,NA,NA,NA,1.0E-02,3.9E-03,1.0E+02,3.9E+01,1.5E+04,143,
894,In-house,CdSe,ZnSe/ZnS,5.7,600,Aminoacid,GSH,Zwitterion,Peptide,GSH,Epithelial,A549,Human ,Cell-line,Lung,SRB,Active,48,5.0E+02,2.0E+04,1.2E+10,2.1E+01,7.4E+00,56.5,4.3,IC50,6.9E+01,2.5E+02,6.9E+01,1.0E+01,2.8E+00,5.0E+02,1.4E+02,5.1E+04,144,
895,In-house,CdSe,ZnSe/ZnS,5.7,600,PEG,GSH-PEG-COOH,Negative,Unmodified,Unmodified,Epithelial,A549,Human ,Cell-line,Lung,SRB,Passive,48,5.0E+02,2.0E+04,1.2E+10,2.1E+01,7.4E+00,58.7,8.7,IC50,6.9E+01,2.5E+02,6.9E+01,1.0E+01,2.8E+00,5.0E+02,1.4E+02,5.1E+04,144,
896,In-house,CdSe,ZnSe/ZnS,5.7,600,PEG,GSH-PEG-Amine,Positive,Unmodified,Unmodified,Epithelial,A549,Human ,Cell-line,Lung,SRB,Passive,48,5.0E+02,2.0E+04,1.2E+10,2.1E+01,7.4E+00,100.0,4.3,Over50,NA,NA,NA,1.0E+01,2.8E+00,5.0E+02,1.4E+02,5.1E+04,144,
897,In-house,CdSe,ZnSe/ZnS,5.7,600,Aminoacid,GSH,Zwitterion,Peptide,GSH,Fibroblast,NIH/3T3,Mouse,Cell-line,Embryo,SRB,Active,48,5.0E+02,2.0E+04,1.2E+10,2.1E+01,7.4E+00,84.8,2.2,Over50,NA,NA,NA,1.0E+01,2.8E+00,5.0E+02,1.4E+02,5.1E+04,144,
898,In-house,CdSe,ZnSe/ZnS,5.7,600,PEG,GSH-PEG-COOH,Negative,Unmodified,Unmodified,Fibroblast,NIH/3T3,Mouse,Cell-line,Embryo,SRB,Passive,48,5.0E+02,2.0E+04,1.2E+10,2.1E+01,7.4E+00,87.0,6.5,Over50,NA,NA,NA,1.0E+01,2.8E+00,5.0E+02,1.4E+02,5.1E+04,144,
899,In-house,CdSe,ZnSe/ZnS,5.7,600,PEG,GSH-PEG-Amine,Positive,Unmodified,Unmodified,Fibroblast,NIH/3T3,Mouse,Cell-line,Embryo,SRB,Passive,48,5.0E+02,2.0E+04,1.2E+10,2.1E+01,7.4E+00,87.0,8.7,Over50,NA,NA,NA,1.0E+01,2.8E+00,5.0E+02,1.4E+02,5.1E+04,144,
900,In-house,CdSe,ZnS,6.5,623,Alkylthiol,MAA,Negative,Unmodified,Unmodified,Epithelial,B16,Mouse,Cell-line,Skin,MTT,Passive,1,3.2E+04,3.2E+06,1.9E+12,2.2E+03,1.9E+03,57.1,NA,Over50,NA,NA,NA,1.0E+02,3.9E+01,3.2E+04,1.2E+04,4.2E+06,145,
901,In-house,CdSe,ZnS,6.5,623,Alkylthiol,MAA-Aptamer,Negative,Nucleicacid,Aptamer,Epithelial,B16,Mouse,Cell-line,Skin,MTT,Active,1,3.2E+04,3.2E+06,1.9E+12,2.2E+03,1.9E+03,85.7,NA,Over50,NA,NA,NA,1.0E+02,3.9E+01,3.2E+04,1.2E+04,4.2E+06,145,
902,In-house,CdSe,ZnS,6.5,623,Alkylthiol,MAA,Negative,Unmodified,Unmodified,Epithelial,B16,Mouse,Cell-line,Skin,MTT,Passive,24,3.2E+04,3.2E+06,1.9E+12,2.2E+03,1.9E+03,49.0,NA,IC50,1.2E+03,3.2E+03,1.2E+03,1.0E+02,3.9E+01,3.2E+04,1.2E+04,4.2E+06,145,
903,In-house,CdSe,ZnS,6.5,623,Alkylthiol,MAA-Aptamer,Negative,Nucleicacid,Aptamer,Epithelial,B16,Mouse,Cell-line,Skin,MTT,Active,24,3.2E+04,3.2E+06,1.9E+12,2.2E+03,1.9E+03,75.5,NA,Over50,NA,NA,NA,1.0E+02,3.9E+01,3.2E+04,1.2E+04,4.2E+06,145,
904,In-house,CdSe,ZnS,5.0,580,Aminoacid,GSH,Zwitterion,Peptide,GSH,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,1,3.2E+04,3.2E+06,1.9E+12,9.1E+02,8.1E+02,89.8,NA,Over50,NA,NA,NA,1.0E+02,1.8E+01,3.2E+04,5.6E+03,2.5E+06,145,
905,In-house,CdSe,ZnS,5.0,580,Aminoacid,GSH-Peptide-T7,Zwitterion,Delivery-Peptide,Peptide-T7,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,1,3.2E+04,3.2E+06,1.9E+12,9.1E+02,8.1E+02,102.0,NA,Over50,NA,NA,NA,1.0E+02,1.8E+01,3.2E+04,5.6E+03,2.5E+06,145,
906,In-house,CdSe,ZnS,5.0,580,Aminoacid,GSH,Zwitterion,Peptide,GSH,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,24,3.2E+04,3.2E+06,1.9E+12,9.1E+02,8.1E+02,67.3,NA,IC50,1.4E+02,8.0E+02,1.4E+02,1.0E+02,1.8E+01,3.2E+04,5.6E+03,2.5E+06,145,
907,In-house,CdSe,ZnS,5.0,580,Aminoacid,GSH-Peptide-T7,Zwitterion,Delivery-Peptide,Peptide-T7,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,24,3.2E+04,3.2E+06,1.9E+12,9.1E+02,8.1E+02,81.6,NA,Over50,NA,NA,NA,1.0E+02,1.8E+01,3.2E+04,5.6E+03,2.5E+06,145,
908,In-house,CdSe,No-shell,4.0,590,Polyol,CD-His,Neutral,Aminoacid,His,Endothelial,ECV304,Human ,Cell-line,Bladder,MTT,Active,48,1.7E+03,3.5E+03,2.1E+09,1.2E+02,2.1E+00,34.9,7.0,IC50,8.0E+01,7.0E+02,8.0E+01,4.4E+01,5.0E+00,1.7E+03,2.0E+02,8.8E+04,146,
909,In-house,CdSe,No-shell,4.1,590,Polyol,CD-Trp,Neutral,Aminoacid,Trp,Endothelial,ECV304,Human ,Cell-line,Bladder,MTT,Active,48,1.6E+03,3.2E+03,2.0E+09,1.2E+02,2.1E+00,37.2,4.6,IC50,7.4E+01,6.0E+02,7.4E+01,4.1E+01,5.0E+00,1.6E+03,2.0E+02,8.6E+04,146,
910,In-house,CdSe,No-shell,4.1,590,Polyol,CD-Phe,Neutral,Aminoacid,Phe,Endothelial,ECV304,Human ,Cell-line,Bladder,MTT,Active,48,1.6E+03,3.2E+03,2.0E+09,1.2E+02,2.1E+00,36.0,3.5,IC50,6.8E+01,5.5E+02,6.8E+01,4.1E+01,5.0E+00,1.6E+03,2.0E+02,8.6E+04,146,
911,In-house,CdSe,No-shell,4.2,590,Polyol,CD-Cysteine,Neutral,Aminoacid,Cysteine,Endothelial,ECV304,Human ,Cell-line,Bladder,MTT,Active,48,1.5E+03,3.0E+03,1.8E+09,1.2E+02,2.1E+00,19.8,4.7,IC50,4.8E+01,3.6E+02,4.8E+01,3.8E+01,5.0E+00,1.5E+03,2.0E+02,8.4E+04,146,
912,In-house,CdSe,CdS,4.9,620,Polyol,CD-His,Neutral,Aminoacid,His,Endothelial,ECV304,Human ,Cell-line,Bladder,MTT,Active,48,1.0E+03,2.0E+03,1.2E+09,1.3E+02,2.4E+00,39.5,3.2,IC50,9.6E+01,4.9E+02,9.6E+01,2.6E+01,5.0E+00,1.0E+03,2.0E+02,7.7E+04,146,
913,In-house,CdSe,CdS,4.9,620,Polyol,CD-Trp,Neutral,Aminoacid,Trp,Endothelial,ECV304,Human ,Cell-line,Bladder,MTT,Active,48,1.0E+03,2.0E+03,1.2E+09,1.3E+02,2.3E+00,44.2,5.6,IC50,9.2E+01,4.7E+02,9.2E+01,2.5E+01,5.0E+00,1.0E+03,2.0E+02,7.7E+04,146,
914,In-house,CdSe,CdS,5.0,620,Polyol,CD-Phe,Neutral,Aminoacid,Phe,Endothelial,ECV304,Human ,Cell-line,Bladder,MTT,Active,48,9.6E+02,1.9E+03,1.2E+09,1.3E+02,2.4E+00,43.0,4.6,IC50,7.5E+01,3.6E+02,7.5E+01,2.4E+01,5.0E+00,9.6E+02,2.0E+02,7.5E+04,146,
915,In-house,CdSe,CdS,5.1,620,Polyol,CD-Cysteine,Neutral,Aminoacid,Cysteine,Endothelial,ECV304,Human ,Cell-line,Bladder,MTT,Active,48,9.0E+02,1.8E+03,1.1E+09,1.3E+02,2.4E+00,31.4,5.3,IC50,5.5E+01,2.5E+02,5.5E+01,2.3E+01,5.0E+00,9.0E+02,2.0E+02,7.4E+04,146,
916,In-house,CdSe,No-shell,4.0,590,Polyol,CD-His,Neutral,Aminoacid,His,Epithelial,SH-SY5Y,Human ,Cell-line,Bone-Marrow,MTT,Active,48,1.7E+03,3.5E+03,2.1E+09,1.2E+02,2.1E+00,30.2,5.2,IC50,6.3E+01,5.5E+02,6.3E+01,4.4E+01,5.0E+00,1.7E+03,2.0E+02,8.8E+04,146,
917,In-house,CdSe,No-shell,4.1,590,Polyol,CD-Trp,Neutral,Aminoacid,Trp,Epithelial,SH-SY5Y,Human ,Cell-line,Bone-Marrow,MTT,Active,48,1.6E+03,3.2E+03,2.0E+09,1.2E+02,2.1E+00,37.2,3.4,IC50,5.9E+01,4.8E+02,5.9E+01,4.1E+01,5.0E+00,1.6E+03,2.0E+02,8.6E+04,146,
918,In-house,CdSe,No-shell,4.1,590,Polyol,CD-Phe,Neutral,Aminoacid,Phe,Epithelial,SH-SY5Y,Human ,Cell-line,Bone-Marrow,MTT,Active,48,1.6E+03,3.2E+03,2.0E+09,1.2E+02,2.1E+00,19.8,4.4,IC50,4.7E+01,3.8E+02,4.7E+01,4.1E+01,5.0E+00,1.6E+03,2.0E+02,8.6E+04,146,
919,In-house,CdSe,No-shell,4.2,590,Polyol,CD-Cysteine,Neutral,Aminoacid,Cysteine,Epithelial,SH-SY5Y,Human ,Cell-line,Bone-Marrow,MTT,Active,48,1.5E+03,3.0E+03,1.8E+09,1.2E+02,2.1E+00,36.0,3.2,IC50,4.3E+01,3.2E+02,4.3E+01,3.8E+01,5.0E+00,1.5E+03,2.0E+02,8.4E+04,146,
920,In-house,CdSe,CdS,4.9,620,Polyol,CD-His,Neutral,Aminoacid,His,Epithelial,SH-SY5Y,Human ,Cell-line,Bone-Marrow,MTT,Active,48,1.0E+03,2.0E+03,1.2E+09,1.3E+02,2.4E+00,45.3,4.5,IC50,8.6E+01,4.4E+02,8.6E+01,2.6E+01,5.0E+00,1.0E+03,2.0E+02,7.7E+04,146,
921,In-house,CdSe,CdS,4.9,620,Polyol,CD-Trp,Neutral,Aminoacid,Trp,Epithelial,SH-SY5Y,Human ,Cell-line,Bone-Marrow,MTT,Active,48,1.0E+03,2.0E+03,1.2E+09,1.3E+02,2.3E+00,38.4,4.3,IC50,7.2E+01,3.6E+02,7.2E+01,2.5E+01,5.0E+00,1.0E+03,2.0E+02,7.7E+04,146,
922,In-house,CdSe,CdS,5.0,620,Polyol,CD-Phe,Neutral,Aminoacid,Phe,Epithelial,SH-SY5Y,Human ,Cell-line,Bone-Marrow,MTT,Active,48,9.6E+02,1.9E+03,1.2E+09,1.3E+02,2.4E+00,36.0,6.3,IC50,6.0E+01,2.9E+02,6.0E+01,2.4E+01,5.0E+00,9.6E+02,2.0E+02,7.5E+04,146,
923,In-house,CdSe,CdS,5.1,620,Polyol,CD-Cysteine,Neutral,Aminoacid,Cysteine,Epithelial,SH-SY5Y,Human ,Cell-line,Bone-Marrow,MTT,Active,48,9.0E+02,1.8E+03,1.1E+09,1.3E+02,2.4E+00,29.1,4.7,IC50,3.9E+01,1.8E+02,3.9E+01,2.3E+01,5.0E+00,9.0E+02,2.0E+02,7.4E+04,146,
924,In-house,CdSe,No-shell,4.0,590,Polyol,CD-His,Neutral,Aminoacid,His,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,48,1.7E+03,3.5E+03,2.1E+09,1.2E+02,2.1E+00,29.1,3.1,IC50,4.7E+01,4.1E+02,4.7E+01,4.4E+01,5.0E+00,1.7E+03,2.0E+02,8.8E+04,146,
925,In-house,CdSe,No-shell,4.1,590,Polyol,CD-Trp,Neutral,Aminoacid,Trp,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,48,1.6E+03,3.2E+03,2.0E+09,1.2E+02,2.1E+00,27.9,4.3,IC50,4.0E+01,3.2E+02,4.0E+01,4.1E+01,5.0E+00,1.6E+03,2.0E+02,8.6E+04,146,
926,In-house,CdSe,No-shell,4.1,590,Polyol,CD-Phe,Neutral,Aminoacid,Phe,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,48,1.6E+03,3.2E+03,2.0E+09,1.2E+02,2.1E+00,31.4,5.6,IC50,3.2E+01,2.6E+02,3.2E+01,4.1E+01,5.0E+00,1.6E+03,2.0E+02,8.6E+04,146,
927,In-house,CdSe,No-shell,4.2,590,Polyol,CD-Cysteine,Neutral,Aminoacid,Cysteine,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,48,1.5E+03,3.0E+03,1.8E+09,1.2E+02,2.1E+00,17.4,4.5,IC50,2.8E+01,2.1E+02,2.8E+01,3.8E+01,5.0E+00,1.5E+03,2.0E+02,8.4E+04,146,
928,In-house,CdSe,CdS,4.9,620,Polyol,CD-His,Neutral,Aminoacid,His,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,48,1.0E+03,2.0E+03,1.2E+09,1.3E+02,2.4E+00,37.2,3.2,IC50,6.9E+01,3.5E+02,6.9E+01,2.6E+01,5.0E+00,1.0E+03,2.0E+02,7.7E+04,146,
929,In-house,CdSe,CdS,4.9,620,Polyol,CD-Trp,Neutral,Aminoacid,Trp,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,48,1.0E+03,2.0E+03,1.2E+09,1.3E+02,2.3E+00,36.0,5.3,IC50,5.8E+01,2.9E+02,5.8E+01,2.5E+01,5.0E+00,1.0E+03,2.0E+02,7.7E+04,146,
930,In-house,CdSe,CdS,5.0,620,Polyol,CD-Phe,Neutral,Aminoacid,Phe,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,48,9.6E+02,1.9E+03,1.2E+09,1.3E+02,2.4E+00,24.4,3.4,IC50,4.7E+01,2.2E+02,4.7E+01,2.4E+01,5.0E+00,9.6E+02,2.0E+02,7.5E+04,146,
931,In-house,CdSe,CdS,5.1,620,Polyol,CD-Cysteine,Neutral,Aminoacid,Cysteine,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,48,9.0E+02,1.8E+03,1.1E+09,1.3E+02,2.4E+00,30.2,4.2,IC50,3.5E+01,1.6E+02,3.5E+01,2.3E+01,5.0E+00,9.0E+02,2.0E+02,7.4E+04,146,
932,In-house,CdTe,No-shell,3.1,554,Aminoacid,GSH,Zwitterion,Peptide,GSH,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,24,1.0E+04,1.0E+06,6.0E+11,2.6E+02,2.3E+02,56.3,3.4,Over50,NA,NA,NA,8.0E+01,4.4E+00,1.0E+04,5.5E+02,3.0E+05,147,
933,In-house,CdTe,No-shell,3.3,579,Aminoacid,GSH,Zwitterion,Peptide,GSH,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,24,1.0E+04,1.0E+06,6.0E+11,3.1E+02,2.8E+02,58.9,3.4,Over50,NA,NA,NA,8.0E+01,5.3E+00,1.0E+04,6.6E+02,3.4E+05,147,
934,In-house,CdTe,No-shell,3.1,554,Alkylthiol,MAA,Negative,Unmodified,Unmodified,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Passive,24,2.5E+03,2.5E+05,1.5E+11,6.4E+01,5.7E+01,46.0,2.6,IC50,8.8E+01,1.6E+03,8.8E+01,4.0E+01,2.2E+00,2.5E+03,1.4E+02,7.5E+04,147,
935,In-house,CdTe,No-shell,3.3,579,Alkylthiol,MAA,Negative,Unmodified,Unmodified,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Passive,24,2.5E+03,2.5E+05,1.5E+11,7.8E+01,6.9E+01,48.6,3.4,IC50,1.1E+02,1.6E+03,1.1E+02,4.0E+01,2.7E+00,2.5E+03,1.7E+02,8.5E+04,147,
936,In-house,CdTe,No-shell,3.1,554,Aminoacid,GSH,Zwitterion,Peptide,GSH,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,8,6.3E+04,6.3E+06,3.8E+12,1.6E+03,1.4E+03,50.0,NA,IC50,3.5E+03,6.3E+04,3.5E+03,NA,NA,6.3E+04,3.5E+03,1.9E+06,147,
937,In-house,CdTe,No-shell,3.3,579,Aminoacid,GSH,Zwitterion,Peptide,GSH,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,8,6.7E+04,6.7E+06,4.0E+12,2.1E+03,1.9E+03,50.0,NA,IC50,4.4E+03,6.7E+04,4.4E+03,NA,NA,6.7E+04,4.4E+03,2.3E+06,147,
938,In-house,CdTe,No-shell,3.1,554,Aminoacid,GSH,Zwitterion,Peptide,GSH,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,12,4.8E+04,4.8E+06,2.9E+12,1.2E+03,1.1E+03,50.0,NA,IC50,2.6E+03,4.8E+04,2.6E+03,NA,NA,4.8E+04,2.6E+03,1.4E+06,147,
939,In-house,CdTe,No-shell,3.3,579,Aminoacid,GSH,Zwitterion,Peptide,GSH,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,12,4.5E+04,4.5E+06,2.7E+12,1.4E+03,1.2E+03,50.0,NA,IC50,3.0E+03,4.5E+04,3.0E+03,NA,NA,4.5E+04,3.0E+03,1.5E+06,147,
940,In-house,CdTe,No-shell,3.1,554,Aminoacid,GSH,Zwitterion,Peptide,GSH,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,24,9.5E+03,9.5E+05,5.7E+11,2.4E+02,2.2E+02,50.0,NA,IC50,5.2E+02,9.5E+03,5.2E+02,NA,NA,9.5E+03,5.2E+02,2.9E+05,147,
941,In-house,CdTe,No-shell,3.3,579,Aminoacid,GSH,Zwitterion,Peptide,GSH,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,24,9.5E+03,9.5E+05,5.7E+11,3.0E+02,2.6E+02,50.0,NA,IC50,6.3E+02,9.5E+03,6.3E+02,NA,NA,9.5E+03,6.3E+02,3.2E+05,147,
942,In-house,CdTe,No-shell,3.1,554,Alkylthiol,MAA,Negative,Unmodified,Unmodified,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Passive,8,2.8E+04,2.8E+06,1.7E+12,7.2E+02,6.4E+02,50.0,NA,IC50,1.5E+03,2.8E+04,1.5E+03,NA,NA,2.8E+04,1.5E+03,8.4E+05,147,
943,In-house,CdTe,No-shell,3.3,579,Alkylthiol,MAA,Negative,Unmodified,Unmodified,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Passive,8,3.3E+04,3.3E+06,2.0E+12,1.0E+03,9.1E+02,50.0,NA,IC50,2.2E+03,3.3E+04,2.2E+03,NA,NA,3.3E+04,2.2E+03,1.1E+06,147,
944,In-house,CdTe,No-shell,3.1,554,Alkylthiol,MAA,Negative,Unmodified,Unmodified,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Passive,12,1.9E+04,1.9E+06,1.1E+12,4.9E+02,4.4E+02,50.0,NA,IC50,1.0E+03,1.9E+04,1.0E+03,NA,NA,1.9E+04,1.0E+03,5.7E+05,147,
945,In-house,CdTe,No-shell,3.3,579,Alkylthiol,MAA,Negative,Unmodified,Unmodified,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Passive,12,2.1E+04,2.1E+06,1.3E+12,6.5E+02,5.8E+02,50.0,NA,IC50,1.4E+03,2.1E+04,1.4E+03,NA,NA,2.1E+04,1.4E+03,7.2E+05,147,
946,In-house,CdTe,No-shell,3.1,554,Alkylthiol,MAA,Negative,Unmodified,Unmodified,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Passive,24,1.1E+03,1.1E+05,6.6E+10,2.8E+01,2.5E+01,50.0,NA,IC50,6.1E+01,1.1E+03,6.1E+01,NA,NA,1.1E+03,6.1E+01,3.3E+04,147,
947,In-house,CdTe,No-shell,3.3,579,Alkylthiol,MAA,Negative,Unmodified,Unmodified,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Passive,24,2.1E+03,2.1E+05,1.3E+11,6.5E+01,5.8E+01,50.0,NA,IC50,1.4E+02,2.1E+03,1.4E+02,NA,NA,2.1E+03,1.4E+02,7.2E+04,147,
948,In-house,CdSe,ZnS,4.6,570,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Fibroblast,MC3T3-E1,Mouse,Cell-line,Bone,Others,Passive,1,7.2E+03,7.2E+04,4.3E+10,2.0E+02,1.8E+01,86.0,3.1,NA,NA,NA,NA,NA,NA,7.2E+03,1.0E+03,4.8E+05,148,
949,In-house,CdSe,ZnS,4.6,570,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Fibroblast,MC3T3-E1,Mouse,Cell-line,Bone,Others,Passive,2,7.2E+03,7.2E+04,4.3E+10,2.0E+02,1.8E+01,77.6,2.5,NA,NA,NA,NA,NA,NA,7.2E+03,1.0E+03,4.8E+05,148,
950,In-house,CdSe,ZnS,4.6,570,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Fibroblast,MC3T3-E1,Mouse,Cell-line,Bone,Others,Passive,4,7.2E+03,7.2E+04,4.3E+10,2.0E+02,1.8E+01,68.1,2.2,NA,NA,NA,NA,NA,NA,7.2E+03,1.0E+03,4.8E+05,148,
951,In-house,CdSe,ZnS,4.6,570,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Fibroblast,MC3T3-E1,Mouse,Cell-line,Bone,Others,Passive,8,7.2E+03,7.2E+04,4.3E+10,2.0E+02,1.8E+01,55.4,0.9,NA,NA,NA,NA,NA,NA,7.2E+03,1.0E+03,4.8E+05,148,
952,In-house,CdSe,ZnS,4.6,570,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Fibroblast,MC3T3-E1,Mouse,Cell-line,Bone,Others,Passive,12,7.2E+03,7.2E+04,4.3E+10,2.0E+02,1.8E+01,56.9,2.5,NA,NA,NA,NA,NA,NA,7.2E+03,1.0E+03,4.8E+05,148,
953,In-house,CdSe,ZnS,4.6,570,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Fibroblast,MC3T3-E1,Mouse,Cell-line,Bone,Others,Passive,24,7.2E+03,7.2E+04,4.3E+10,2.0E+02,1.8E+01,48.6,1.2,IC50,3.1E+02,2.2E+03,3.1E+02,NA,NA,7.2E+03,1.0E+03,4.8E+05,148,
954,In-house,CdSe,ZnS,4.6,570,Amphiphilic-polymer,Amphiphilic-polymer-Hydroxyapatite,Negative,Mineral,Hydroxyapatite,Fibroblast,MC3T3-E1,Mouse,Cell-line,Bone,Others,Active,1,1.3E+02,1.3E+03,8.0E+08,3.8E+00,3.3E-01,76.7,3.7,NA,NA,NA,NA,1.3E+00,1.9E-01,1.3E+02,1.9E+01,8.8E+03,148,
955,In-house,CdSe,ZnS,4.6,570,Amphiphilic-polymer,Amphiphilic-polymer-Hydroxyapatite,Negative,Mineral,Hydroxyapatite,Fibroblast,MC3T3-E1,Mouse,Cell-line,Bone,Others,Active,2,1.3E+02,1.3E+03,8.0E+08,3.8E+00,3.3E-01,67.0,3.1,NA,NA,NA,NA,1.3E+00,1.9E-01,1.3E+02,1.9E+01,8.8E+03,148,
956,In-house,CdSe,ZnS,4.6,570,Amphiphilic-polymer,Amphiphilic-polymer-Hydroxyapatite,Negative,Mineral,Hydroxyapatite,Fibroblast,MC3T3-E1,Mouse,Cell-line,Bone,Others,Active,4,1.3E+02,1.3E+03,8.0E+08,3.8E+00,3.3E-01,69.2,3.3,NA,NA,NA,NA,1.3E+00,1.9E-01,1.3E+02,1.9E+01,8.8E+03,148,
957,In-house,CdSe,ZnS,4.6,570,Amphiphilic-polymer,Amphiphilic-polymer-Hydroxyapatite,Negative,Mineral,Hydroxyapatite,Fibroblast,MC3T3-E1,Mouse,Cell-line,Bone,Others,Active,8,1.3E+02,1.3E+03,8.0E+08,3.8E+00,3.3E-01,58.5,2.5,NA,NA,NA,NA,1.3E+00,1.9E-01,1.3E+02,1.9E+01,8.8E+03,148,
958,In-house,CdSe,ZnS,4.6,570,Amphiphilic-polymer,Amphiphilic-polymer-Hydroxyapatite,Negative,Mineral,Hydroxyapatite,Fibroblast,MC3T3-E1,Mouse,Cell-line,Bone,Others,Active,12,1.3E+02,1.3E+03,8.0E+08,3.8E+00,3.3E-01,53.5,3.8,NA,NA,NA,NA,1.3E+00,1.9E-01,1.3E+02,1.9E+01,8.8E+03,148,
959,In-house,CdSe,ZnS,4.6,570,Amphiphilic-polymer,Amphiphilic-polymer-Hydroxyapatite,Negative,Mineral,Hydroxyapatite,Fibroblast,MC3T3-E1,Mouse,Cell-line,Bone,Others,Active,24,1.3E+02,1.3E+03,8.0E+08,3.8E+00,3.3E-01,38.3,2.8,IC50,8.0E+00,5.7E+01,8.0E+00,1.3E+00,1.9E-01,1.3E+02,1.9E+01,8.8E+03,148,
960,In-house,CdSe,ZnS,4.6,570,Amphiphilic-polymer,Amphiphilic-polymer-Hydroxyapatite,Negative,Mineral,Hydroxyapatite,Fibroblast,MC3T3-E1,Mouse,Cell-line,Bone,Others,Active,1,6.7E+02,6.7E+03,4.0E+09,1.9E+01,1.7E+00,78.6,1.2,NA,NA,NA,NA,6.5E+00,9.0E-01,6.7E+02,9.3E+01,4.4E+04,148,
961,In-house,CdSe,ZnS,4.6,570,Amphiphilic-polymer,Amphiphilic-polymer-Hydroxyapatite,Negative,Mineral,Hydroxyapatite,Fibroblast,MC3T3-E1,Mouse,Cell-line,Bone,Others,Active,2,6.7E+02,6.7E+03,4.0E+09,1.9E+01,1.7E+00,71.2,3.3,NA,NA,NA,NA,6.5E+00,9.0E-01,6.7E+02,9.3E+01,4.4E+04,148,
962,In-house,CdSe,ZnS,4.6,570,Amphiphilic-polymer,Amphiphilic-polymer-Hydroxyapatite,Negative,Mineral,Hydroxyapatite,Fibroblast,MC3T3-E1,Mouse,Cell-line,Bone,Others,Active,4,6.7E+02,6.7E+03,4.0E+09,1.9E+01,1.7E+00,71.8,0.8,NA,NA,NA,NA,6.5E+00,9.0E-01,6.7E+02,9.3E+01,4.4E+04,148,
963,In-house,CdSe,ZnS,4.6,570,Amphiphilic-polymer,Amphiphilic-polymer-Hydroxyapatite,Negative,Mineral,Hydroxyapatite,Fibroblast,MC3T3-E1,Mouse,Cell-line,Bone,Others,Active,8,6.7E+02,6.7E+03,4.0E+09,1.9E+01,1.7E+00,59.2,4.5,NA,NA,NA,NA,6.5E+00,9.0E-01,6.7E+02,9.3E+01,4.4E+04,148,
