Reference,Study title,DOI,Dose,Time,Zeta_W,Zeta_W measurement,Zeta_M,Zeta_M measurement,Hydro_W,Hydro_size_W measrement,Hydro_M,Hydro_size_M measrement,Size,Size measurement,SSA,Surf_area measurement,NP type,shape,Shape measurement,C_Origin,C_name,C_Type,Assay,Cell viability
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,125,24,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,250,24,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,1.5,4,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,15,4,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,31,4,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,62,4,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,125,4,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,250,4,?,?,0.95,DLS,356,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,1.5,48,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,15,48,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,31,48,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,62,48,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,125,48,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,250,48,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,1.5,24,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,15,24,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,31,24,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,62,24,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,125,24,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,250,24,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,1.5,4,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,15,4,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,31,4,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,62,4,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,125,4,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,250,4,?,?,2.58,DLS,299,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,MTT,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,0.1,168,?,?,0.32,DLS,275,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,Clonogenic,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,0.2,168,?,?,0.32,DLS,275,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,Clonogenic,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,1.5,168,?,?,0.32,DLS,275,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,Clonogenic,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,5,168,?,?,0.32,DLS,275,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,Clonogenic,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,15,168,?,?,0.32,DLS,275,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,Clonogenic,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,31,168,?,?,0.32,DLS,275,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,D384,Medulloblastoma,Clonogenic,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,0.1,168,?,?,-0.7,DLS,243,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,Clonogenic,Non-Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,0.2,168,?,?,-0.7,DLS,243,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,Clonogenic,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,1.5,168,?,?,-0.7,DLS,243,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,Clonogenic,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,5,168,?,?,-0.7,DLS,243,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,Clonogenic,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,15,168,?,?,-0.7,DLS,243,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,Clonogenic,Toxic
Coccini et al 2015,"Comparative
cellular toxicity of titanium dioxide nanoparticles on human astrocyte
and neuronal cells after acute and prolonged exposure",doi:10.1016/j.neuro.2015.03.006,31,168,?,?,-0.7,DLS,243,DLS,?,?,15,TEM,240,?,TiO2,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,Clonogenic,Toxic
"Wang et al., 2014","ZnO nanoparticleinduced
oxidative stress triggers apoptosis by activating JNK signaling
pathway in cultured primary astrocytes",doi:10.1186/1556-276X-9-117,4,6,?,?,?,?,2181,DLS,747,DLS,45,TEM,35,BET,ZnO,Rod,TEM,Rat,Primary,Astrocytes,MTT,Non-Toxic
"Wang et al., 2014","ZnO nanoparticleinduced
oxidative stress triggers apoptosis by activating JNK signaling
pathway in cultured primary astrocytes",doi:10.1186/1556-276X-9-117,4,12,?,?,?,?,2181,DLS,747,DLS,45,TEM,35,BET,ZnO,Rod,TEM,Rat,Primary,Astrocytes,MTT,Non-Toxic
"Wang et al., 2014","ZnO nanoparticleinduced
oxidative stress triggers apoptosis by activating JNK signaling
pathway in cultured primary astrocytes",doi:10.1186/1556-276X-9-117,4,24,?,?,?,?,2181,DLS,747,DLS,45,TEM,35,BET,ZnO,Rod,TEM,Rat,Primary,Astrocytes,MTT,Non-Toxic
"Wang et al., 2014","ZnO nanoparticleinduced
oxidative stress triggers apoptosis by activating JNK signaling
pathway in cultured primary astrocytes",doi:10.1186/1556-276X-9-117,8,6,?,?,?,?,2181,DLS,747,DLS,45,TEM,35,BET,ZnO,Rod,TEM,Rat,Primary,Astrocytes,MTT,Non-Toxic
"Wang et al., 2014","ZnO nanoparticleinduced
oxidative stress triggers apoptosis by activating JNK signaling
pathway in cultured primary astrocytes",doi:10.1186/1556-276X-9-117,8,12,?,?,?,?,2181,DLS,747,DLS,45,TEM,35,BET,ZnO,Rod,TEM,Rat,Primary,Astrocytes,MTT,Toxic
"Wang et al., 2014","ZnO nanoparticleinduced
oxidative stress triggers apoptosis by activating JNK signaling
pathway in cultured primary astrocytes",doi:10.1186/1556-276X-9-117,8,24,?,?,?,?,2181,DLS,747,DLS,45,TEM,35,BET,ZnO,Rod,TEM,Rat,Primary,Astrocytes,MTT,Toxic
"Wang et al., 2014","ZnO nanoparticleinduced
oxidative stress triggers apoptosis by activating JNK signaling
pathway in cultured primary astrocytes",doi:10.1186/1556-276X-9-117,12,6,?,?,?,?,2181,DLS,747,DLS,45,TEM,35,BET,ZnO,Rod,TEM,Rat,Primary,Astrocytes,MTT,Toxic
"Wang et al., 2014","ZnO nanoparticleinduced
oxidative stress triggers apoptosis by activating JNK signaling
pathway in cultured primary astrocytes",doi:10.1186/1556-276X-9-117,12,12,?,?,?,?,2181,DLS,747,DLS,45,TEM,35,BET,ZnO,Rod,TEM,Rat,Primary,Astrocytes,MTT,Toxic
"Wang et al., 2014","ZnO nanoparticleinduced
oxidative stress triggers apoptosis by activating JNK signaling
pathway in cultured primary astrocytes",doi:10.1186/1556-276X-9-117,12,24,?,?,?,?,2181,DLS,747,DLS,45,TEM,35,BET,ZnO,Rod,TEM,Rat,Primary,Astrocytes,MTT,Toxic
"Sharma et al., 2017","Zinc oxide
nanoparticle induces microglial death by NADPH-oxidase-independent
reactive oxygen species as well as energy depletion.",doi:10.1007/s12035-016-0133-7,1,24,-15.8,DLS,?,?,166.2,DLS,584,DLS,38.52,TEM,?,?,ZnO,?,?,Mouse,N9,Microglial ,MTT,Non-Toxic
"Sharma et al., 2017","Zinc oxide
nanoparticle induces microglial death by NADPH-oxidase-independent
reactive oxygen species as well as energy depletion.",doi:10.1007/s12035-016-0133-7,2.5,24,-15.8,DLS,?,?,166.2,DLS,584,DLS,38.52,TEM,?,?,ZnO,?,?,Mouse,N9,Microglial ,MTT,Non-Toxic
"Sharma et al., 2017","Zinc oxide
nanoparticle induces microglial death by NADPH-oxidase-independent
reactive oxygen species as well as energy depletion.",doi:10.1007/s12035-016-0133-7,5,24,-15.8,DLS,?,?,166.2,DLS,584,DLS,38.52,TEM,?,?,ZnO,?,?,Mouse,N9,Microglial ,MTT,Toxic
"Sharma et al., 2017","Zinc oxide
nanoparticle induces microglial death by NADPH-oxidase-independent
reactive oxygen species as well as energy depletion.",doi:10.1007/s12035-016-0133-7,6,24,-15.8,DLS,?,?,166.2,DLS,584,DLS,38.52,TEM,?,?,ZnO,?,?,Mouse,N9,Microglial ,MTT,Toxic
"Sharma et al., 2017","Zinc oxide
nanoparticle induces microglial death by NADPH-oxidase-independent
reactive oxygen species as well as energy depletion.",doi:10.1007/s12035-016-0133-7,7.5,24,-15.8,DLS,?,?,166.2,DLS,584,DLS,38.52,TEM,?,?,ZnO,?,?,Mouse,N9,Microglial ,MTT,Toxic
"Sharma et al., 2017","Zinc oxide
nanoparticle induces microglial death by NADPH-oxidase-independent
reactive oxygen species as well as energy depletion.",doi:10.1007/s12035-016-0133-7,10,24,-15.8,DLS,?,?,166.2,DLS,584,DLS,38.52,TEM,?,?,ZnO,?,?,Mouse,N9,Microglial ,MTT,Toxic
"Sharma et al., 2017","Zinc oxide
nanoparticle induces microglial death by NADPH-oxidase-independent
reactive oxygen species as well as energy depletion.",doi:10.1007/s12035-016-0133-7,25,24,-15.8,DLS,?,?,166.2,DLS,584,DLS,38.52,TEM,?,?,ZnO,?,?,Mouse,N9,Microglial ,MTT,Toxic
"Sharma et al., 2017","Zinc oxide
nanoparticle induces microglial death by NADPH-oxidase-independent
reactive oxygen species as well as energy depletion.",doi:10.1007/s12035-016-0133-7,50,24,-15.8,DLS,?,?,166.2,DLS,584,DLS,38.52,TEM,?,?,ZnO,?,?,Mouse,N9,Microglial ,MTT,Toxic
"Sharma et al., 2017","Zinc oxide
nanoparticle induces microglial death by NADPH-oxidase-independent
reactive oxygen species as well as energy depletion.",doi:10.1007/s12035-016-0133-7,75,24,-15.8,DLS,?,?,166.2,DLS,584,DLS,38.52,TEM,?,?,ZnO,?,?,Mouse,N9,Microglial ,MTT,Toxic
"Sharma et al., 2017","Zinc oxide
nanoparticle induces microglial death by NADPH-oxidase-independent
reactive oxygen species as well as energy depletion.",doi:10.1007/s12035-016-0133-7,100,24,-15.8,DLS,?,?,166.2,DLS,584,DLS,38.52,TEM,?,?,ZnO,?,?,Mouse,N9,Microglial ,MTT,Toxic
"Sharma et al., 2017","Zinc oxide
nanoparticle induces microglial death by NADPH-oxidase-independent
reactive oxygen species as well as energy depletion.",doi:10.1007/s12035-016-0133-7,5,36,-15.8,DLS,?,?,166.2,DLS,584,DLS,38.52,TEM,?,?,ZnO,?,?,Mouse,N9,Microglial ,MTT,Toxic
"Sharma et al., 2017","Zinc oxide
nanoparticle induces microglial death by NADPH-oxidase-independent
reactive oxygen species as well as energy depletion.",doi:10.1007/s12035-016-0133-7,6.5,48,-15.8,DLS,?,?,166.2,DLS,584,DLS,38.52,TEM,?,?,ZnO,?,?,Mouse,N9,Microglial ,MTT,Toxic
"Wei et al., 2017","Involvement
of PINK1/parkin-mediated mitophagy in ZnO nanoparticleinduced
toxicity in BV-2 cells",doi: 10.2147/IJN.S129375,5,24,?,?,?,?,500.8,DLS,?,?,50,TEM,?,?,ZnO,Prism,TEM,Mouse,BV2,Microglial ,MTT,Non-Toxic
"Wei et al., 2017","Involvement
of PINK1/parkin-mediated mitophagy in ZnO nanoparticleinduced
toxicity in BV-2 cells",doi: 10.2147/IJN.S129375,10,24,?,?,?,?,500.8,DLS,?,?,50,TEM,?,?,ZnO,Prism,TEM,Mouse,BV2,Microglial ,MTT,Non-Toxic
"Wei et al., 2017","Involvement
of PINK1/parkin-mediated mitophagy in ZnO nanoparticleinduced
toxicity in BV-2 cells",doi: 10.2147/IJN.S129375,15,24,?,?,?,?,500.8,DLS,?,?,50,TEM,?,?,ZnO,Prism,TEM,Mouse,BV2,Microglial ,MTT,Toxic
"Wei et al., 2017","Involvement
of PINK1/parkin-mediated mitophagy in ZnO nanoparticleinduced
toxicity in BV-2 cells",doi: 10.2147/IJN.S129375,20,24,?,?,?,?,500.8,DLS,?,?,50,TEM,?,?,ZnO,Prism,TEM,Mouse,BV2,Microglial ,MTT,Toxic
"Wei et al., 2017","Involvement
of PINK1/parkin-mediated mitophagy in ZnO nanoparticleinduced
toxicity in BV-2 cells",doi: 10.2147/IJN.S129375,25,24,?,?,?,?,500.8,DLS,?,?,50,TEM,?,?,ZnO,Prism,TEM,Mouse,BV2,Microglial ,MTT,Toxic
"Wei et al., 2017","Involvement
of PINK1/parkin-mediated mitophagy in ZnO nanoparticleinduced
toxicity in BV-2 cells",doi: 10.2147/IJN.S129375,30,24,?,?,?,?,500.8,DLS,?,?,50,TEM,?,?,ZnO,Prism,TEM,Mouse,BV2,Microglial ,MTT,Toxic
"Xu et al., 2012","In vitro toxicity of nanosized
copper particles in PC12 cells induced by oxidative stress",doi:10.1007/s11051-011-0686-3,1,3,?,?,23.14,PALS,?,?,434,DLS,30,TEM,?,?,CuO,Cubic,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Xu et al., 2012","In vitro toxicity of nanosized
copper particles in PC12 cells induced by oxidative stress",doi:10.1007/s11051-011-0686-3,10,3,?,?,23.14,PALS,?,?,434,DLS,30,TEM,?,?,CuO,Cubic,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Xu et al., 2012","In vitro toxicity of nanosized
copper particles in PC12 cells induced by oxidative stress",doi:10.1007/s11051-011-0686-3,30,3,?,?,23.14,PALS,?,?,434,DLS,30,TEM,?,?,CuO,Cubic,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Xu et al., 2012","In vitro toxicity of nanosized
copper particles in PC12 cells induced by oxidative stress",doi:10.1007/s11051-011-0686-3,100,3,?,?,23.14,PALS,?,?,434,DLS,30,TEM,?,?,CuO,Cubic,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Xu et al., 2012","In vitro toxicity of nanosized
copper particles in PC12 cells induced by oxidative stress",doi:10.1007/s11051-011-0686-3,1,6,?,?,23.14,PALS,?,?,434,DLS,30,TEM,?,?,CuO,Cubic,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Xu et al., 2012","In vitro toxicity of nanosized
copper particles in PC12 cells induced by oxidative stress",doi:10.1007/s11051-011-0686-3,10,6,?,?,23.14,PALS,?,?,434,DLS,30,TEM,?,?,CuO,Cubic,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Xu et al., 2012","In vitro toxicity of nanosized
copper particles in PC12 cells induced by oxidative stress",doi:10.1007/s11051-011-0686-3,30,6,?,?,23.14,PALS,?,?,434,DLS,30,TEM,?,?,CuO,Cubic,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Xu et al., 2012","In vitro toxicity of nanosized
copper particles in PC12 cells induced by oxidative stress",doi:10.1007/s11051-011-0686-3,100,6,?,?,23.14,PALS,?,?,434,DLS,30,TEM,?,?,CuO,Cubic,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Xu et al., 2012","In vitro toxicity of nanosized
copper particles in PC12 cells induced by oxidative stress",doi:10.1007/s11051-011-0686-3,1,12,?,?,23.14,PALS,?,?,434,DLS,30,TEM,?,?,CuO,Cubic,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Xu et al., 2012","In vitro toxicity of nanosized
copper particles in PC12 cells induced by oxidative stress",doi:10.1007/s11051-011-0686-3,10,12,?,?,23.14,PALS,?,?,434,DLS,30,TEM,?,?,CuO,Cubic,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Xu et al., 2012","In vitro toxicity of nanosized
copper particles in PC12 cells induced by oxidative stress",doi:10.1007/s11051-011-0686-3,30,12,?,?,23.14,PALS,?,?,434,DLS,30,TEM,?,?,CuO,Cubic,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Xu et al., 2012","In vitro toxicity of nanosized
copper particles in PC12 cells induced by oxidative stress",doi:10.1007/s11051-011-0686-3,100,12,?,?,23.14,PALS,?,?,434,DLS,30,TEM,?,?,CuO,Cubic,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Xu et al., 2012","In vitro toxicity of nanosized
copper particles in PC12 cells induced by oxidative stress",doi:10.1007/s11051-011-0686-3,1,24,?,?,23.14,PALS,?,?,434,DLS,30,TEM,?,?,CuO,Cubic,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Xu et al., 2012","In vitro toxicity of nanosized
copper particles in PC12 cells induced by oxidative stress",doi:10.1007/s11051-011-0686-3,10,24,?,?,23.14,PALS,?,?,434,DLS,30,TEM,?,?,CuO,Cubic,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Xu et al., 2012","In vitro toxicity of nanosized
copper particles in PC12 cells induced by oxidative stress",doi:10.1007/s11051-011-0686-3,30,24,?,?,23.14,PALS,?,?,434,DLS,30,TEM,?,?,CuO,Cubic,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Xu et al., 2012","In vitro toxicity of nanosized
copper particles in PC12 cells induced by oxidative stress",doi:10.1007/s11051-011-0686-3,100,24,?,?,23.14,PALS,?,?,434,DLS,30,TEM,?,?,CuO,Cubic,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",0.1,24,-35.6,?,-8.5,?,?,?,?,?,1,TEM,?,?,GO,flat,TEM,Rat,PC12,Pheochromocytoma,LDH,Non-Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",1,24,-35.6,?,-8.5,?,?,?,?,?,1,TEM,?,?,GO,flat,TEM,Rat,PC12,Pheochromocytoma,LDH,Non-Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",10,24,-35.6,?,-8.5,?,?,?,?,?,1,TEM,?,?,GO,flat,TEM,Rat,PC12,Pheochromocytoma,LDH,Non-Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",100,24,-35.6,?,-8.5,?,?,?,?,?,1,TEM,?,?,GO,flat,TEM,Rat,PC12,Pheochromocytoma,LDH,Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",0.1,24,-15.5,?,-8.5,?,?,?,?,?,100,TEM,?,?,SWCNT,Nanotubes,TEM,Rat,PC12,Pheochromocytoma,LDH,Non-Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",1,24,-15.5,?,-8.5,?,?,?,?,?,100,TEM,?,?,SWCNT,Nanotubes,TEM,Rat,PC12,Pheochromocytoma,LDH,Toxic
