Nanoparticle,Type: Organic (O)/inorganic (I),coat,Diameter (nm),Concentration μM,Zeta potential (mV),Cells,Cell line (L)/primary cells (P),Human(H)/Animal(A) cells,Animal?,Cell morphology,"Cell age: embryonic (E), Adult (A)",Cell-organ/tissue source,Exposure time (h),Test,Test indicator,Biochemical metric,% Cell viability,Interference checked (Y/N),Colloidal stability checked (Y/N),Positive control (Y/N),Publication year,Particle ID,Reference DOI,
Iron oxide,I,PEG to the PEI,361.4,8.01374E-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,1,LDH,LDH activity assay kit,LDH leakage,93.995932,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,1.60275E-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,1,LDH,LDH activity assay kit,LDH leakage,93.116283,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,3.2055E-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,1,LDH,LDH activity assay kit,LDH leakage,93.133453,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,2.00023E-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,4,LDH,LDH activity assay kit,LDH leakage,93.6327133,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,4.00687E-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,4,LDH,LDH activity assay kit,LDH leakage,93.199493,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,8.01374E-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,4,LDH,LDH activity assay kit,LDH leakage,94.1095204,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,1.60275E-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,4,LDH,LDH activity assay kit,LDH leakage,92.787405,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,3.2055E-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,4,LDH,LDH activity assay kit,LDH leakage,96.3720415,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,2.00023E-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,93.301194,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,4.00687E-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,92.869294,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,8.01374E-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,92.436074,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,1.60275E-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,91.113958,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,3.2055E-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,91.132449,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,2.00023E-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,LDH,LDH activity assay kit,LDH leakage,88.05896,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,4.00687E-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,LDH,LDH activity assay kit,LDH leakage,88.072168,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,8.01374E-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,LDH,LDH activity assay kit,LDH leakage,89.871091,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,1.60275E-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,LDH,LDH activity assay kit,LDH leakage,90.333368,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG to the PEI,361.4,3.2055E-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,LDH,LDH activity assay kit,LDH leakage,91.689825,Y,N,N,2012,19,10.1186/1556-276X-7-77,
Iron oxide,I,PEG,16,0.002955218,,HMEC­1,L,H,,Endothelial-like,E,Skin,24,ATPLite,luciferase,ATP content,109.81651,N,N,N,2015,20,10.3762/bjnano.6.28,
Iron oxide,I,PEG,16,0.002955218,,HMEC­1,L,H,,Endothelial-like,E,Skin,72,ATPLite,luciferase,ATP content,111.48148,N,N,N,2015,20,10.3762/bjnano.6.28,
Iron oxide,I,PEG-NH2,16,0.002955218,,HMEC­1,L,H,,Endothelial-like,E,Skin,24,ATPLite,luciferase,ATP content,86.69725,N,N,N,2015,20,10.3762/bjnano.6.28,
Iron oxide,I,PEG-NH2,16,0.002955218,,HMEC­1,L,H,,Endothelial-like,E,Skin,72,ATPLite,luciferase,ATP content,79.07407,N,N,N,2015,20,10.3762/bjnano.6.28,
Iron oxide,I,,957,6.90532E-13,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,94.38202,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-12,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,94.38202,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-11,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-10,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,3.45266E-09,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,100,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-09,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,98.8764,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,1.38106E-08,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,97.75281,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,3.45266E-08,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,97.75281,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-08,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,95.505615,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-13,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-12,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,97.75281,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-11,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,97.75281,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-10,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,93.25843,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,3.45266E-09,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,88.764046,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-09,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,89.88764,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,1.38106E-08,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,92.134834,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,3.45266E-08,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,92.134834,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-08,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,89.88764,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-13,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,95.4905033,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-12,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,99.20229125,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-11,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,95.435032,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-10,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,95.40609,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,3.45266E-09,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,87.905336,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-09,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,87.873982,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,1.38106E-08,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,85.978293,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,3.45266E-08,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,91.55924,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-08,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,87.791981,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-13,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,98.1869159,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-12,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,98.1579741,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-11,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,94.3931265,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-10,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,86.889961,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,3.45266E-09,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,86.861019,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-09,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,86.832077,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,1.38106E-08,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,83.069641,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,3.45266E-08,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,84.909859,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,957,6.90532E-08,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,83.01417,N,Y,N,2011,21,10.1007/s10565-011-9191-9,
Iron oxide,I,,196.4,7.98905E-08,,A549,L,H,,Epithelial,A,Lung,24,Alamar Blue,Alamar blue,cell metabolic activity,96.346596,N,Y,N,2013,22,10.3390/ijms140815546,
Iron oxide,I,,196.4,7.98905E-08,,A549,L,H,,Epithelial,A,Lung,72,Alamar Blue,Alamar blue,cell metabolic activity,95.28805,N,Y,N,2013,22,10.3390/ijms140815546,
Iron oxide,I,,196.4,7.98905E-07,,A549,L,H,,Epithelial,A,Lung,24,Alamar Blue,Alamar blue,cell metabolic activity,95.04239,N,Y,N,2013,22,10.3390/ijms140815546,
Iron oxide,I,,196.4,7.98905E-07,,A549,L,H,,Epithelial,A,Lung,72,Alamar Blue,Alamar blue,cell metabolic activity,91.270515,N,Y,N,2013,22,10.3390/ijms140815546,
Iron oxide,I,,196.4,7.98905E-06,,A549,L,H,,Epithelial,A,Lung,24,Alamar Blue,Alamar blue,cell metabolic activity,93.7379,N,Y,N,2013,22,10.3390/ijms140815546,
Iron oxide,I,,196.4,7.98905E-06,,A549,L,H,,Epithelial,A,Lung,72,Alamar Blue,Alamar blue,cell metabolic activity,88.29703,N,Y,N,2013,22,10.3390/ijms140815546,
Iron oxide,I,,196.4,7.98905E-08,,A549,L,H,,Epithelial,A,Lung,24,LDH,LDH activity assay kit,LDH leakage,97.32284,N,Y,N,2013,22,10.3390/ijms140815546,
Iron oxide,I,,196.4,7.98905E-07,,A549,L,H,,Epithelial,A,Lung,24,LDH,LDH activity assay kit,LDH leakage,91.02362,N,Y,N,2013,22,10.3390/ijms140815546,
Iron oxide,I,,196.4,7.98905E-06,,A549,L,H,,Epithelial,A,Lung,24,LDH,LDH activity assay kit,LDH leakage,-58.89764,N,Y,N,2013,22,10.3390/ijms140815546,
Iron oxide,I,,196.4,7.98905E-08,,A549,L,H,,Epithelial,A,Lung,24,Live/Dead,"propidium iodide, Annexin V",cell membrane integrity,99.49775452,N,Y,N,2013,22,10.3390/ijms140815546,
Iron oxide,I,,196.4,7.98905E-07,,A549,L,H,,Epithelial,A,Lung,24,Live/Dead,"propidium iodide, Annexin V",cell membrane integrity,99.48388338,N,Y,N,2013,22,10.3390/ijms140815546,
Iron oxide,I,,196.4,7.98905E-06,,A549,L,H,,Epithelial,A,Lung,24,Live/Dead,"propidium iodide, Annexin V",cell membrane integrity,98.21391782,N,Y,N,2013,22,10.3390/ijms140815546,
Iron oxide,I,BSA,12,0.175124059,,HeLa,L,H,,Epithelial,A,Cervix,6,Alamar Blue,Alamar blue,cell metabolic activity,116.68046,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.350248118,,HeLa,L,H,,Epithelial,A,Cervix,6,Alamar Blue,Alamar blue,cell metabolic activity,125.76342,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.700496235,,HeLa,L,H,,Epithelial,A,Cervix,6,Alamar Blue,Alamar blue,cell metabolic activity,118.42655,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,1.400992471,,HeLa,L,H,,Epithelial,A,Cervix,6,Alamar Blue,Alamar blue,cell metabolic activity,106.33531,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,2.801984942,,HeLa,L,H,,Epithelial,A,Cervix,6,Alamar Blue,Alamar blue,cell metabolic activity,60.540848,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.175124059,,MEF,L,A,Mouse,Fibroblast,E,embryo,6,Alamar Blue,Alamar blue,cell metabolic activity,95.12975,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.350248118,,MEF,L,A,Mouse,Fibroblast,E,embryo,6,Alamar Blue,Alamar blue,cell metabolic activity,97.29847,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.700496235,,MEF,L,A,Mouse,Fibroblast,E,embryo,6,Alamar Blue,Alamar blue,cell metabolic activity,100.33076,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,1.400992471,,MEF,L,A,Mouse,Fibroblast,E,embryo,6,Alamar Blue,Alamar blue,cell metabolic activity,83.9204,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,2.801984942,,MEF,L,A,Mouse,Fibroblast,E,embryo,6,Alamar Blue,Alamar blue,cell metabolic activity,52.38526,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.175124059,,HepG2,L,H,,Epithelial,A,liver,6,Alamar Blue,Alamar blue,cell metabolic activity,80.49265,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.350248118,,HepG2,L,H,,Epithelial,A,liver,6,Alamar Blue,Alamar blue,cell metabolic activity,86.55028,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.700496235,,HepG2,L,H,,Epithelial,A,liver,6,Alamar Blue,Alamar blue,cell metabolic activity,79.64488,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,1.400992471,,HepG2,L,H,,Epithelial,A,liver,6,Alamar Blue,Alamar blue,cell metabolic activity,75.76418,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,2.801984942,,HepG2,L,H,,Epithelial,A,liver,6,Alamar Blue,Alamar blue,cell metabolic activity,38.179634,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.175124059,,GH3,L,A,Rat,Epithelial,A,pituitary gland,6,Alamar Blue,Alamar blue,cell metabolic activity,99.99025,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.350248118,,GH3,L,A,Rat,Epithelial,A,pituitary gland,6,Alamar Blue,Alamar blue,cell metabolic activity,108.20964,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.700496235,,GH3,L,A,Rat,Epithelial,A,pituitary gland,6,Alamar Blue,Alamar blue,cell metabolic activity,114.267265,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,1.400992471,,GH3,L,A,Rat,Epithelial,A,pituitary gland,6,Alamar Blue,Alamar blue,cell metabolic activity,97.42418,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,2.801984942,,GH3,L,A,Rat,Epithelial,A,pituitary gland,6,Alamar Blue,Alamar blue,cell metabolic activity,54.22169,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.175124059,,MCF7,L,H,,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,106.52736,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.350248118,,MCF7,L,H,,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,101.78246,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.700496235,,MCF7,L,H,,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,105.678314,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,1.400992471,,MCF7,L,H,,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,100.06985,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,2.801984942,,MCF7,L,H,,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,47.361145,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.175124059,,CDBgeo,L,A,Mouse,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,95.7779,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.350248118,,CDBgeo,L,A,Mouse,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,98.81082,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.700496235,,CDBgeo,L,A,Mouse,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,97.954834,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,1.400992471,,CDBgeo,L,A,Mouse,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,92.77783,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,2.801984942,,CDBgeo,L,A,Mouse,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,27.53884,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.175124059,,TD,L,A,Mouse,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,100.5866,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.350248118,,TD,L,A,Mouse,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,104.91329,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.700496235,,TD,L,A,Mouse,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,100.16903,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,1.400992471,,TD,L,A,Mouse,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,98.01674,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,2.801984942,,TD,L,A,Mouse,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,56.110554,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.175124059,,V14,L,A,Mouse,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,98.91,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.350248118,,V14,L,A,Mouse,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,100.214516,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,0.700496235,,V14,L,A,Mouse,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,95.038155,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,1.400992471,,V14,L,A,Mouse,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,91.15683,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,BSA,12,2.801984942,,V14,L,A,Mouse,Epithelial,A,Breast,6,Alamar Blue,Alamar blue,cell metabolic activity,65.6711,N,Y,N,2009,23,10.1039/B901616C,
Iron oxide,I,alginate,30,0.002241588,,PAECs,P,A,Pig,Endothelial,A,Aorta,12,Alamar blue,Alamar blue,cell metabolic activity,125,N,N,N,2009,24,10.1089/ten.tec.2009.0280,
Iron oxide,I,alginate,30,0.002241588,,PAECs,P,A,Pig,Endothelial,A,Aorta,36,Alamar blue,Alamar blue,cell metabolic activity,104.96454,N,N,N,2009,24,10.1089/ten.tec.2009.0280,
Iron oxide,I,alginate,30,0.002241588,,PAECs,P,A,Pig,Endothelial,A,Aorta,60,Alamar blue,Alamar blue,cell metabolic activity,96.4539,N,N,N,2009,24,10.1089/ten.tec.2009.0280,
Iron oxide,I,alginate,30,0.02241588,,PAECs,P,A,Pig,Endothelial,A,Aorta,12,Alamar blue,Alamar blue,cell metabolic activity,97.87234,N,N,N,2009,24,10.1089/ten.tec.2009.0280,
Iron oxide,I,alginate,30,0.02241588,,PAECs,P,A,Pig,Endothelial,A,Aorta,36,Alamar blue,Alamar blue,cell metabolic activity,81.56029,N,N,N,2009,24,10.1089/ten.tec.2009.0280,
Iron oxide,I,alginate,30,0.02241588,,PAECs,P,A,Pig,Endothelial,A,Aorta,60,Alamar blue,Alamar blue,cell metabolic activity,74.11347,N,N,N,2009,24,10.1089/ten.tec.2009.0280,
Iron oxide,I,alginate,30,0.02241588,,PAECs,P,A,Pig,Endothelial,A,Aorta,24,Alamar blue,Alamar blue,cell metabolic activity,84.69324,N,N,N,2009,24,10.1089/ten.tec.2009.0280,
Iron oxide,I,alginate,30,0.02241588,,PAECs,P,A,Pig,Endothelial,A,Aorta,48,Alamar blue,Alamar blue,cell metabolic activity,74.03898,N,N,N,2009,24,10.1089/ten.tec.2009.0280,
Iron oxide,I,alginate,30,0.02241588,,PAECs,P,A,Pig,Endothelial,A,Aorta,72,Alamar blue,Alamar blue,cell metabolic activity,67.576324,N,N,N,2009,24,10.1089/ten.tec.2009.0280,
Iron oxide,I,alginate,30,0.02241588,,PAECs,P,A,Pig,Endothelial,A,Aorta,96,Alamar blue,Alamar blue,cell metabolic activity,68.59861,N,N,N,2009,24,10.1089/ten.tec.2009.0280,
Iron oxide,I,alginate,30,0.02241588,,PAECs,P,A,Pig,Endothelial,A,Aorta,144,Alamar blue,Alamar blue,cell metabolic activity,64.980354,N,N,N,2009,24,10.1089/ten.tec.2009.0280,
Iron oxide,I,,14,0.110282206,,A549,L,H,,Epithelial,A,Lung,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,63.070538,N,N,N,2010,25,10.1007/s00449-009-0354-5,
Iron oxide,I,,14,0.110282206,,MCF7,L,H,,Epithelial,A,Breast,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,73.029045,N,N,N,2010,25,10.1007/s00449-009-0354-5,
Iron oxide,I,,14,0.110282206,,T98G,L,H,,Fibroblast,A,Brain,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,76.34855,N,N,N,2010,25,10.1007/s00449-009-0354-5,
Iron oxide,I,,14,0.110282206,,A549,L,H,,Epithelial,A,Lung,96,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,81.47948,N,N,N,2010,25,10.1007/s00449-009-0354-5,
Iron oxide,I,,14,0.110282206,,MCF7,L,H,,Epithelial,A,Breast,96,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,97.015015,N,N,N,2010,25,10.1007/s00449-009-0354-5,
Iron oxide,I,,14,0.110282206,,T98G,L,H,,Fibroblast,A,Brain,96,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,93.21722,N,N,N,2010,25,10.1007/s00449-009-0354-5,
Iron oxide,I,COOH,20,0.0005,,HeLa,L,H,,Epithelial,A,Cervix,24,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,99.803925,N,N,N,2012,26,10.1007/s10856-012-4716-1,
Iron oxide,I,COOH,20,0.005,,HeLa,L,H,,Epithelial,A,Cervix,24,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,92.54902,N,N,N,2012,26,10.1007/s10856-012-4716-1,
Iron oxide,I,COOH,20,0.05,,HeLa,L,H,,Epithelial,A,Cervix,24,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,88.039215,N,N,N,2012,26,10.1007/s10856-012-4716-1,
